Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-01-19,36.948,41.809,36.948,40.837,129900,0.0,0.0
2022-01-20,39.816,47.031,39.816,43.754,153400,0.0,0.0
2022-01-21,41.809,48.567,41.761,43.754,329500,0.0,0.0
2022-01-24,43.676,43.754,40.72,41.615,110000,0.0,0.0
2022-01-25,41.323,43.676,40.185,40.738,23500,0.0,0.0
2022-01-26,43.764,43.812,41.08,42.023,90500,0.0,0.0
2022-01-27,45.951,48.246,42.538,44.493,151600,0.0,0.0
2022-01-28,43.316,46.282,42.927,45.455,43600,0.0,0.0
2022-01-31,44.726,46.671,44.726,46.671,71300,0.0,0.0
2022-02-01,46.185,48.615,45.747,48.401,298800,0.0,0.0
2022-02-02,48.649,54.673,48.421,51.542,23860900,0.0,0.0
2022-02-03,50.745,55.003,48.907,52.135,8425500,0.0,0.0
2022-02-04,51.143,52.825,48.732,48.751,6757800,0.0,0.0
2022-02-07,48.615,48.654,44.726,44.794,9432500,0.0,0.0
2022-02-08,43.88,46.243,42.947,44.24,7277500,0.0,0.0
2022-02-09,43.511,46.136,42.665,46.0,4393100,0.0,0.0
2022-02-10,44.25,47.157,44.123,45.747,2450000,0.0,0.0
2022-02-11,45.465,47.556,44.784,46.758,3456800,0.0,0.0
2022-02-14,46.855,47.643,45.689,46.778,2155000,0.0,0.0
2022-02-15,46.379,47.108,45.893,46.671,2359800,0.0,0.0
2022-02-16,46.399,47.128,45.65,45.893,5855300,0.0,0.0
2022-02-17,45.037,45.776,43.939,44.036,3142600,0.0,0.0
2022-02-18,43.9,44.629,43.559,44.152,2018700,0.0,0.0
2022-02-22,44.152,44.415,42.286,42.334,2611100,0.0,0.0
2022-02-23,42.48,42.772,41.012,41.897,2791200,0.0,0.0
2022-02-24,42.093,43.498,41.186,43.234,2447900,0.141,0.0
2022-02-25,43.215,43.829,42.668,42.834,2040700,0.0,0.0
2022-02-28,42.239,45.478,41.42,44.853,5534900,0.0,0.0
2022-03-01,44.502,46.873,44.239,46.619,4212900,0.0,0.0
2022-03-02,46.824,49.068,46.17,48.248,3517100,0.0,0.0
2022-03-03,48.599,49.097,46.382,48.307,2072200,0.0,0.0
2022-03-04,47.965,49.789,47.068,49.75,2544600,0.0,0.0
2022-03-07,49.809,51.292,48.648,50.385,2726900,0.0,0.0
2022-03-08,49.926,53.965,49.604,51.038,3873700,0.0,0.0
2022-03-09,51.155,52.365,49.351,50.072,3050600,0.0,0.0
2022-03-10,49.331,50.375,48.063,50.063,2692700,0.0,0.0
2022-03-11,50.16,50.57,47.107,48.112,3034100,0.0,0.0
2022-03-14,50.589,50.589,47.4,49.702,2916600,0.0,0.0
2022-03-15,50.082,50.326,48.677,50.033,2117400,0.0,0.0
2022-03-16,50.443,51.116,49.116,50.502,2989800,0.0,0.0
2022-03-17,50.609,51.419,49.663,49.741,2244600,0.0,0.0
2022-03-18,49.409,50.15,47.682,47.809,9663900,0.0,0.0
2022-03-21,47.712,48.219,47.409,48.014,2452000,0.0,0.0
2022-03-22,49.116,50.775,48.785,49.887,3841900,0.0,0.0
2022-03-23,49.458,50.502,49.458,49.741,2396200,0.0,0.0
2022-03-24,49.926,51.292,49.523,51.126,2335200,0.0,0.0
2022-03-25,50.96,52.501,50.755,52.482,2441200,0.0,0.0
2022-03-28,53.048,55.457,52.726,55.389,3127000,0.0,0.0
2022-03-29,55.603,55.984,53.292,54.95,2201300,0.0,0.0
2022-03-30,54.794,56.374,54.335,56.091,1934100,0.0,0.0
2022-03-31,56.911,57.633,54.413,54.872,3817600,0.0,0.0
2022-04-01,54.979,56.872,54.335,56.598,2156500,0.0,0.0
2022-04-04,56.93,57.262,56.12,56.95,1885100,0.0,0.0
2022-04-05,57.213,58.842,57.018,57.554,2143100,0.0,0.0
2022-04-06,57.457,58.608,56.94,58.14,2559400,0.0,0.0
2022-04-07,58.296,59.574,57.896,59.418,3925800,0.0,0.0
2022-04-08,59.72,63.31,59.408,62.451,4762100,0.0,0.0
2022-04-11,62.608,63.078,58.93,59.193,3487700,0.0,0.0
2022-04-12,59.505,61.661,59.388,60.354,2553000,0.0,0.0
2022-04-13,60.52,62.968,60.237,62.627,3405700,0.0,0.0
2022-04-14,62.549,63.134,60.658,61.017,1860100,0.0,0.0
2022-04-18,60.764,62.598,60.764,61.759,1216800,0.0,0.0
2022-04-19,62.071,65.251,61.339,65.076,2078800,0.0,0.0
2022-04-20,66.158,66.997,63.471,63.807,2182800,0.0,0.0
2022-04-21,63.407,64.676,60.627,61.135,2493700,0.0,0.0
2022-04-22,60.969,62.877,60.764,60.9,2030500,0.0,0.0
2022-04-25,60.832,61.3,57.984,60.744,2261600,0.0,0.0
2022-04-26,60.286,60.696,58.442,58.481,2136500,0.0,0.0
2022-04-27,58.54,59.691,58.267,58.618,1991600,0.0,0.0
2022-04-28,58.745,59.847,57.359,59.808,3354600,0.0,0.0
2022-04-29,59.993,60.344,57.701,57.759,2578400,0.0,0.0
2022-05-02,57.847,58.52,55.506,56.774,2488200,0.0,0.0
2022-05-03,57.018,58.969,57.018,58.237,2224200,0.0,0.0
2022-05-04,58.647,60.769,58.377,60.296,2628900,0.0,0.0
2022-05-05,59.72,60.471,57.72,58.686,1946800,0.0,0.0
2022-05-06,58.784,59.73,57.262,58.793,2861000,0.0,0.0
2022-05-09,59.086,59.086,55.184,56.208,2193700,0.0,0.0
2022-05-10,56.823,58.403,55.345,55.642,2156200,0.0,0.0
2022-05-11,55.711,57.584,55.145,55.964,1877000,0.0,0.0
2022-05-12,56.044,56.572,51.907,52.288,3785600,0.141,0.0
2022-05-13,53.325,54.666,52.445,53.403,2317500,0.0,0.0
2022-05-16,53.217,55.868,53.139,55.34,1631900,0.0,0.0
2022-05-17,55.594,58.166,54.743,58.009,2215100,0.0,0.0
2022-05-18,58.107,58.924,55.672,56.014,4609100,0.0,0.0
2022-05-19,55.868,56.239,53.706,55.965,2181100,0.0,0.0
