Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,52.401,52.547,51.897,52.394,1971400,0.0,0.0
2017-01-04,52.533,53.015,52.416,52.839,1790700,0.0,0.0
2017-01-05,52.927,53.11,52.379,52.65,2270100,0.0,0.0
2017-01-06,52.445,52.62,52.255,52.35,2066200,0.0,0.0
2017-01-09,52.511,52.635,51.795,51.861,1251800,0.0,0.0
2017-01-10,51.905,52.087,51.532,51.927,1258200,0.0,0.0
2017-01-11,51.897,52.803,51.897,52.672,1505500,0.0,0.0
2017-01-12,52.62,52.934,52.452,52.854,1176400,0.0,0.0
2017-01-13,52.752,52.934,52.292,52.65,979300,0.0,0.0
2017-01-17,52.861,53.227,52.788,52.949,1673400,0.0,0.0
2017-01-18,53.022,53.27,52.708,52.796,1173500,0.0,0.0
2017-01-19,52.65,52.978,52.241,52.372,1219100,0.0,0.0
2017-01-20,52.482,52.803,52.263,52.555,921200,0.0,0.0
2017-01-23,52.635,52.693,52.306,52.445,1037200,0.0,0.0
2017-01-24,52.372,52.657,52.197,52.577,1522500,0.0,0.0
2017-01-25,52.394,52.569,52.248,52.379,862000,0.0,0.0
2017-01-26,52.431,52.774,52.277,52.547,1061600,0.0,0.0
2017-01-27,52.818,52.818,52.423,52.577,1047500,0.0,0.0
2017-01-30,52.788,52.788,52.102,52.526,993200,0.0,0.0
2017-01-31,52.62,53.234,52.379,53.219,2880900,0.0,0.0
2017-02-01,52.832,53.0,52.211,52.285,1413200,0.0,0.0
2017-02-02,52.409,53.051,52.197,53.022,1931400,0.0,0.0
2017-02-03,52.577,53.117,52.431,52.971,2098300,0.0,0.0
2017-02-06,53.183,53.424,52.861,53.124,1531800,0.0,0.0
2017-02-07,53.11,53.394,52.949,53.343,1801000,0.0,0.0
2017-02-08,53.818,54.833,53.738,54.643,3261400,0.0,0.0
2017-02-09,54.643,54.76,54.271,54.592,1849100,0.0,0.0
2017-02-10,54.212,54.935,54.117,54.921,1598300,0.0,0.0
2017-02-13,54.913,55.235,54.753,55.176,1242100,0.0,0.0
2017-02-14,55.184,55.213,54.65,55.052,1483300,0.0,0.0
2017-02-15,54.643,54.84,54.227,54.753,1890700,0.0,0.0
2017-02-16,54.862,55.366,54.84,55.344,1254300,0.0,0.0
2017-02-17,55.366,55.812,55.366,55.746,1984400,0.0,0.0
2017-02-21,55.527,56.483,55.432,56.388,1852900,0.0,0.0
2017-02-22,56.593,56.695,55.87,56.366,3380000,0.0,0.0
2017-02-23,56.644,56.987,56.513,56.885,1750900,0.0,0.0
2017-02-24,57.053,57.644,56.995,57.593,1926200,0.0,0.0
2017-02-27,57.637,57.842,57.309,57.688,1530400,0.0,0.0
2017-02-28,57.71,58.375,57.644,58.229,2506800,0.0,0.0
2017-03-01,57.63,58.404,57.287,57.966,2710000,0.0,0.0
2017-03-02,57.644,58.864,57.608,58.36,2041800,0.0,0.0
2017-03-03,58.316,58.411,57.593,58.046,1821300,0.0,0.0
2017-03-06,57.98,58.134,57.761,57.944,1567400,0.0,0.0
2017-03-07,57.907,58.141,57.783,57.871,1820600,0.0,0.0
2017-03-08,57.513,57.513,56.921,57.046,1868900,0.0,0.0
2017-03-09,57.068,57.352,56.907,56.958,1631300,0.0,0.0
2017-03-10,57.33,57.674,57.104,57.549,1586900,0.0,0.0
2017-03-13,57.506,57.827,57.396,57.747,1233400,0.0,0.0
2017-03-14,57.484,57.484,56.878,57.265,3502900,0.0,0.0
2017-03-15,57.528,58.448,57.338,58.28,2573800,0.0,0.0
2017-03-16,58.053,58.134,57.615,57.82,1610000,0.0,0.0
2017-03-17,57.878,58.353,57.79,58.126,3897600,0.0,0.0
2017-03-20,58.199,58.316,57.352,57.542,1691300,0.0,0.0
2017-03-21,57.433,58.28,57.345,58.097,1786100,0.0,0.0
2017-03-22,58.345,58.805,58.126,58.316,1867900,0.0,0.0
2017-03-23,58.229,58.813,58.083,58.557,1971500,0.0,0.0
2017-03-24,58.411,59.141,58.382,58.937,1266500,0.0,0.0
2017-03-27,59.134,59.39,58.535,58.784,1334400,0.0,0.0
2017-03-28,58.645,59.134,58.426,59.076,1421300,0.0,0.0
2017-03-29,58.923,58.96,58.482,58.681,1669300,0.543,0.0
2017-03-30,58.534,58.637,58.188,58.438,991600,0.0,0.0
2017-03-31,58.394,58.865,58.394,58.526,1217400,0.0,0.0
2017-04-03,58.534,58.776,57.968,58.776,2214700,0.0,0.0
2017-04-04,58.71,59.056,58.534,58.791,1550500,0.0,0.0
2017-04-05,58.776,59.313,58.534,59.247,1613600,0.0,0.0
2017-04-06,59.041,59.401,58.835,59.151,2141200,0.0,0.0
2017-04-07,59.269,59.445,58.982,58.997,2044400,0.0,0.0
2017-04-10,58.982,58.997,58.593,58.872,1288200,0.0,0.0
2017-04-11,58.821,58.953,58.526,58.806,1318100,0.0,0.0
2017-04-12,58.571,59.438,58.46,59.401,1105100,0.0,0.0
2017-04-13,59.218,59.394,58.857,59.041,1257500,0.0,0.0
2017-04-17,59.232,59.438,59.085,59.306,1414300,0.0,0.0
2017-04-18,59.335,59.688,59.254,59.453,1459000,0.0,0.0
2017-04-19,59.497,59.548,59.115,59.269,1284700,0.0,0.0
2017-04-20,59.269,59.269,58.666,59.041,1036900,0.0,0.0
2017-04-21,58.997,59.416,58.938,59.254,1617600,0.0,0.0
2017-04-24,59.195,59.592,58.813,59.504,1539200,0.0,0.0
2017-04-25,59.269,59.592,59.115,59.416,1387400,0.0,0.0
2017-04-26,59.423,59.504,58.865,58.953,1876400,0.0,0.0
2017-04-27,59.026,59.519,58.938,59.071,1708100,0.0,0.0
2017-04-28,59.078,59.328,58.696,58.791,1604100,0.0,0.0
2017-05-01,58.916,58.916,58.188,58.254,1541300,0.0,0.0
2017-05-02,59.129,59.218,57.916,58.159,1497700,0.0,0.0
2017-05-03,58.1,58.277,57.88,57.946,1144700,0.0,0.0
2017-05-04,57.835,58.703,57.762,58.651,1712300,0.0,0.0
2017-05-05,58.813,58.887,58.365,58.593,1364200,0.0,0.0
2017-05-08,58.762,58.762,58.188,58.519,968000,0.0,0.0
2017-05-09,58.416,58.791,58.24,58.468,1312000,0.0,0.0
2017-05-10,58.512,58.762,57.644,58.107,2263000,0.0,0.0
2017-05-11,57.96,57.968,57.115,57.762,2609700,0.0,0.0
2017-05-12,57.799,58.056,57.696,57.916,1530700,0.0,0.0
2017-05-15,57.843,58.188,57.71,57.872,1760500,0.0,0.0
2017-05-16,57.902,58.071,57.247,57.247,1655900,0.0,0.0
2017-05-17,57.247,57.453,56.762,57.041,2195100,0.0,0.0
2017-05-18,57.211,57.688,56.924,57.313,1571600,0.0,0.0
2017-05-19,57.313,57.519,56.894,57.49,2151000,0.0,0.0
2017-05-22,57.284,58.137,57.284,58.012,1702300,0.0,0.0
2017-05-23,57.968,58.49,57.865,57.946,1358100,0.0,0.0
2017-05-24,58.093,58.328,57.997,58.24,1106300,0.0,0.0
2017-05-25,58.203,58.887,58.063,58.776,789500,0.0,0.0
2017-05-26,58.71,58.99,58.629,58.784,775800,0.0,0.0
2017-05-30,58.732,59.409,58.696,59.306,1357800,0.0,0.0
2017-05-31,59.269,60.078,59.269,59.967,2596100,0.0,0.0
2017-06-01,59.776,60.394,59.578,60.394,1934300,0.0,0.0
2017-06-02,60.791,60.886,59.967,60.291,1809700,0.0,0.0
2017-06-05,60.151,60.423,60.048,60.166,1509000,0.0,0.0
2017-06-06,60.269,60.482,59.864,59.923,1394500,0.0,0.0
2017-06-07,59.938,60.298,59.887,60.159,1376800,0.0,0.0
2017-06-08,60.159,60.159,59.247,59.857,1413000,0.0,0.0
2017-06-09,59.695,59.872,59.166,59.762,1829000,0.0,0.0
2017-06-12,59.74,59.784,58.607,59.129,2125100,0.0,0.0
2017-06-13,58.968,59.071,58.637,59.034,1381500,0.0,0.0
2017-06-14,59.519,59.901,59.107,59.46,1703700,0.0,0.0
2017-06-15,59.423,60.32,59.335,60.269,1939900,0.0,0.0
2017-06-16,60.475,60.717,60.21,60.416,2479100,0.0,0.0
2017-06-19,60.526,60.534,59.997,60.21,1203800,0.0,0.0
2017-06-20,60.232,60.489,60.107,60.122,1048800,0.0,0.0
2017-06-21,60.203,60.328,59.695,59.879,1260700,0.0,0.0
2017-06-22,59.754,60.1,59.431,59.467,1013000,0.0,0.0
2017-06-23,59.445,59.607,58.681,58.835,2122700,0.0,0.0
2017-06-26,58.85,59.526,58.762,59.159,1576000,0.0,0.0
2017-06-27,58.901,59.093,58.115,58.122,2260500,0.0,0.0
2017-06-28,58.369,58.487,57.762,57.806,1829400,0.543,0.0
2017-06-29,57.599,58.095,57.192,57.858,2909200,0.0,0.0
2017-06-30,57.976,58.465,57.88,57.88,2024700,0.0,0.0
2017-07-03,58.036,58.08,57.132,57.132,963300,0.0,0.0
2017-07-05,57.169,57.429,56.733,56.918,1577300,0.0,0.0
2017-07-06,56.755,56.881,56.585,56.755,1053800,0.0,0.0
2017-07-07,56.755,57.162,56.681,56.873,953600,0.0,0.0
2017-07-10,56.977,57.081,56.562,56.585,1201500,0.0,0.0
2017-07-11,56.77,56.999,56.54,56.666,1610100,0.0,0.0
2017-07-12,57.177,57.295,56.651,56.696,1709300,0.0,0.0
2017-07-13,57.021,58.087,56.91,57.392,2912800,0.0,0.0
2017-07-14,57.762,57.976,57.28,57.332,1903000,0.0,0.0
2017-07-17,57.288,57.688,57.236,57.621,1733800,0.0,0.0
2017-07-18,57.68,57.843,57.466,57.636,1576400,0.0,0.0
2017-07-19,57.769,57.806,57.48,57.791,966300,0.0,0.0
2017-07-20,57.91,58.102,57.784,58.073,1134400,0.0,0.0
2017-07-21,58.006,58.487,57.91,58.465,1467800,0.0,0.0
2017-07-24,58.428,58.45,58.05,58.095,1729600,0.0,0.0
2017-07-25,57.976,58.191,57.799,58.028,1723000,0.0,0.0
2017-07-26,58.08,58.465,57.843,58.413,1276200,0.0,0.0
2017-07-27,58.302,58.665,58.043,58.643,1312500,0.0,0.0
2017-07-28,58.391,58.739,57.836,57.925,2742300,0.0,0.0
2017-07-31,57.554,58.435,57.554,58.243,1398500,0.0,0.0
2017-08-01,58.391,58.724,58.198,58.391,1890800,0.0,0.0
2017-08-02,58.124,58.42,57.843,58.287,1293200,0.0,0.0
2017-08-03,58.169,58.805,58.021,58.805,1426500,0.0,0.0
2017-08-04,58.613,58.746,58.235,58.694,717100,0.0,0.0
2017-08-07,58.657,58.82,58.435,58.805,733900,0.0,0.0
2017-08-08,58.613,59.072,58.613,59.065,587200,0.0,0.0
2017-08-09,59.213,59.213,58.731,58.813,1154400,0.0,0.0
2017-08-10,58.798,59.094,58.591,58.976,1118300,0.0,0.0
2017-08-11,59.272,59.412,58.665,58.872,1239600,0.0,0.0
2017-08-14,58.791,59.671,58.672,59.605,2111800,0.0,0.0
2017-08-15,59.412,60.204,58.731,59.161,3617000,0.0,0.0
2017-08-16,59.109,59.309,58.924,59.05,2082400,0.0,0.0
2017-08-17,59.079,59.272,58.258,58.487,2564500,0.0,0.0
2017-08-18,58.546,58.724,58.354,58.435,3203800,0.0,0.0
2017-08-21,58.458,59.183,58.413,59.057,1996800,0.0,0.0
2017-08-22,59.027,59.316,59.005,59.294,1209800,0.0,0.0
2017-08-23,59.331,59.634,59.25,59.464,1817700,0.0,0.0
2017-08-24,59.427,59.627,59.301,59.368,1190000,0.0,0.0
2017-08-25,59.649,60.153,59.649,59.775,1605700,0.0,0.0
2017-08-28,59.96,60.012,59.657,59.857,1014300,0.0,0.0
2017-08-29,59.96,60.197,59.509,59.553,1333600,0.0,0.0
2017-08-30,59.442,59.627,59.361,59.442,1047300,0.0,0.0
2017-08-31,59.597,59.694,59.316,59.353,1547400,0.0,0.0
2017-09-01,59.509,59.509,58.879,59.19,1051600,0.0,0.0
2017-09-05,59.264,59.449,58.887,59.412,1674800,0.0,0.0
2017-09-06,59.442,59.553,58.776,58.887,2490500,0.0,0.0
2017-09-07,59.05,59.472,58.894,59.346,1814100,0.0,0.0
2017-09-08,59.301,59.797,59.072,59.768,1387100,0.0,0.0
2017-09-11,59.775,60.382,59.546,60.323,1805000,0.0,0.0
2017-09-12,60.182,60.39,59.472,59.768,2866600,0.0,0.0
2017-09-13,59.723,60.197,59.538,59.945,2941900,0.0,0.0
2017-09-14,59.797,60.101,59.672,59.982,1931000,0.0,0.0
2017-09-15,60.071,60.353,59.923,60.108,3039400,0.0,0.0
2017-09-18,60.071,60.264,58.953,59.627,2455900,0.0,0.0
2017-09-19,59.597,59.701,58.872,59.005,2506900,0.0,0.0
2017-09-20,59.146,59.22,58.317,58.546,1643700,0.0,0.0
2017-09-21,58.517,58.665,58.184,58.228,1686700,0.0,0.0
2017-09-22,58.42,58.443,57.902,57.947,1275900,0.0,0.0
2017-09-25,57.984,58.687,57.836,58.68,2080500,0.0,0.0
2017-09-26,58.672,58.813,58.391,58.591,1203400,0.0,0.0
2017-09-27,58.228,58.517,57.495,57.799,1764200,0.0,0.0
2017-09-28,57.771,57.972,57.346,57.823,1967700,0.543,0.0
2017-09-29,57.734,57.823,57.369,57.525,2030000,0.0,0.0
2017-10-02,57.726,57.943,57.264,57.398,2148400,0.0,0.0
2017-10-03,57.391,57.488,57.063,57.406,1758400,0.0,0.0
2017-10-04,57.51,58.054,57.369,58.032,1429400,0.0,0.0
2017-10-05,58.054,58.054,57.682,57.905,975700,0.0,0.0
2017-10-06,57.659,57.913,57.406,57.861,1340000,0.0,0.0
2017-10-09,57.987,58.054,57.697,57.808,654900,0.0,0.0
2017-10-10,57.816,58.561,57.689,58.546,1545000,0.0,0.0
2017-10-11,58.457,59.009,58.33,58.457,1934100,0.0,0.0
2017-10-12,58.531,59.396,58.464,59.381,2836700,0.0,0.0
2017-10-13,59.344,59.545,57.957,58.136,2998300,0.0,0.0
2017-10-16,58.069,58.293,57.689,57.875,1698100,0.0,0.0
2017-10-17,57.831,58.039,57.346,57.846,3760800,0.0,0.0
