Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,42.995,43.135,42.622,42.863,1123100,0.0,0.0
2017-01-04,42.933,43.283,42.762,43.011,1264600,0.0,0.0
2017-01-05,43.182,43.182,42.645,43.019,1590700,0.0,0.0
2017-01-06,42.676,43.174,42.622,43.003,1224200,0.0,0.0
2017-01-09,43.042,43.197,42.45,42.466,1302800,0.0,0.0
2017-01-10,42.404,42.427,42.085,42.24,1608800,0.0,0.0
2017-01-11,42.334,42.886,42.303,42.847,1369600,0.0,0.0
2017-01-12,42.731,43.12,42.676,43.042,1353600,0.0,0.0
2017-01-13,42.933,43.127,42.614,42.917,1053400,0.0,0.0
2017-01-17,43.159,43.408,43.026,43.361,1303600,0.0,0.0
2017-01-18,43.338,43.501,43.127,43.205,1288700,0.0,0.0
2017-01-19,42.995,43.322,42.785,42.855,1232700,0.0,0.0
2017-01-20,42.917,43.151,42.583,42.801,1373700,0.0,0.0
2017-01-23,42.933,43.089,42.575,42.598,1913900,0.0,0.0
2017-01-24,42.567,42.738,42.341,42.45,1220200,0.0,0.0
2017-01-25,42.31,42.622,42.116,42.256,1134900,0.0,0.0
2017-01-26,42.256,42.559,42.116,42.435,1541600,0.0,0.0
2017-01-27,42.575,42.598,42.1,42.217,1319100,0.0,0.0
2017-01-30,42.334,42.505,42.116,42.357,1240500,0.0,0.0
2017-01-31,42.349,43.104,42.349,43.05,1572000,0.0,0.0
2017-02-01,42.731,42.987,42.412,42.567,1298400,0.0,0.0
2017-02-02,42.622,43.12,42.45,43.073,1099900,0.0,0.0
2017-02-03,43.275,43.688,43.057,43.361,1933100,0.0,0.0
2017-02-06,43.509,43.579,43.213,43.33,900000,0.0,0.0
2017-02-07,43.314,43.501,43.213,43.408,784400,0.0,0.0
2017-02-08,43.314,44.131,43.314,43.96,1341600,0.0,0.0
2017-02-09,43.851,44.061,43.579,43.618,1087700,0.0,0.0
2017-02-10,43.493,43.929,43.493,43.906,700100,0.0,0.0
2017-02-13,43.843,44.015,43.602,43.96,1003900,0.0,0.0
2017-02-14,43.843,43.921,43.314,43.54,1048900,0.0,0.0
2017-02-15,43.268,43.408,42.956,43.392,995600,0.0,0.0
2017-02-16,43.376,43.812,43.306,43.804,1009400,0.0,0.0
2017-02-17,43.812,43.937,43.478,43.696,1529500,0.0,0.0
2017-02-21,43.594,44.295,43.462,44.232,1333300,0.0,0.0
2017-02-22,43.781,44.878,43.649,44.824,1857000,0.0,0.0
2017-02-23,45.026,45.727,44.98,45.229,1902100,0.0,0.0
2017-02-24,45.291,45.999,45.267,45.937,2113200,0.0,0.0
2017-02-27,45.898,45.991,45.657,45.695,1333600,0.0,0.0
2017-02-28,45.778,46.092,45.637,46.021,1927600,0.475,0.0
2017-03-01,45.488,45.974,45.189,45.652,1787800,0.0,0.0
2017-03-02,45.503,46.256,45.425,45.966,1258900,0.0,0.0
2017-03-03,45.88,45.974,45.425,45.723,1674100,0.0,0.0
2017-03-06,45.707,45.88,45.472,45.778,1538800,0.0,0.0
2017-03-07,45.652,46.107,45.652,45.943,1652800,0.0,0.0
2017-03-08,45.448,45.66,45.048,45.127,1324200,0.0,0.0
2017-03-09,45.252,45.503,44.938,45.017,1025200,0.0,0.0
2017-03-10,45.339,45.597,45.056,45.276,1221200,0.0,0.0
2017-03-13,45.252,45.637,45.213,45.535,2299300,0.0,0.0
2017-03-14,45.503,45.77,45.284,45.762,1630800,0.0,0.0
2017-03-15,45.809,46.641,45.77,46.39,2074100,0.0,0.0
2017-03-16,46.17,46.249,45.817,45.927,1047600,0.0,0.0
2017-03-17,46.115,46.609,46.045,46.233,3335900,0.0,0.0
2017-03-20,46.272,46.523,45.778,45.88,1318400,0.0,0.0
2017-03-21,45.825,46.853,45.77,46.633,1782300,0.0,0.0
2017-03-22,46.884,47.237,46.696,46.845,1514200,0.0,0.0
2017-03-23,46.759,47.292,46.704,46.813,1245500,0.0,0.0
2017-03-24,46.743,47.198,46.688,47.08,1310600,0.0,0.0
2017-03-27,47.276,47.355,46.515,46.719,1370500,0.0,0.0
2017-03-28,46.688,46.861,46.476,46.672,1749700,0.0,0.0
2017-03-29,46.625,46.625,46.194,46.343,1453800,0.0,0.0
2017-03-30,46.154,46.241,45.794,45.99,1185900,0.0,0.0
2017-03-31,45.943,46.358,45.943,46.115,1670700,0.0,0.0
2017-04-03,46.1,46.225,45.715,46.202,1205300,0.0,0.0
2017-04-04,46.154,46.319,45.943,46.178,2147800,0.0,0.0
2017-04-05,46.084,46.664,45.998,46.609,1729200,0.0,0.0
2017-04-06,46.46,46.735,46.186,46.711,1714000,0.0,0.0
2017-04-07,46.813,46.947,46.555,46.602,1645200,0.0,0.0
2017-04-10,46.531,46.594,46.225,46.507,1036400,0.0,0.0
2017-04-11,46.413,46.57,46.17,46.453,1214900,0.0,0.0
2017-04-12,46.351,47.002,46.28,46.978,1280400,0.0,0.0
2017-04-13,46.845,47.01,46.523,46.774,1058000,0.0,0.0
2017-04-17,46.9,47.339,46.861,47.3,1513600,0.0,0.0
2017-04-18,47.229,47.465,46.986,47.182,1385700,0.0,0.0
2017-04-19,47.167,47.182,46.547,46.79,1414700,0.0,0.0
2017-04-20,46.79,46.79,46.311,46.633,1125200,0.0,0.0
2017-04-21,46.641,47.049,46.641,46.915,1286800,0.0,0.0
2017-04-24,47.072,47.221,46.688,47.096,1026100,0.0,0.0
2017-04-25,46.923,47.198,46.798,47.072,1340300,0.0,0.0
2017-04-26,47.033,47.198,46.845,46.868,1105400,0.0,0.0
2017-04-27,46.876,47.308,46.837,46.892,1489500,0.0,0.0
2017-04-28,46.853,46.868,46.429,46.602,2029100,0.0,0.0
2017-05-01,46.743,46.743,46.241,46.398,860600,0.0,0.0
2017-05-02,46.507,46.719,46.147,46.46,1160900,0.0,0.0
2017-05-03,46.398,46.664,46.311,46.374,952000,0.0,0.0
2017-05-04,45.59,46.696,45.59,46.672,1308700,0.0,0.0
2017-05-05,46.845,46.986,46.672,46.719,926500,0.0,0.0
2017-05-08,46.821,46.923,46.578,46.884,1133300,0.0,0.0
2017-05-09,46.759,46.931,46.507,46.562,899700,0.0,0.0
2017-05-10,46.586,46.68,46.264,46.468,1168200,0.0,0.0
2017-05-11,46.319,46.664,46.186,46.664,1279100,0.0,0.0
2017-05-12,46.633,47.049,46.633,46.978,806000,0.0,0.0
2017-05-15,46.986,47.229,46.813,47.19,833400,0.0,0.0
2017-05-16,47.19,47.284,46.759,46.782,1076400,0.0,0.0
2017-05-17,46.861,47.425,46.806,47.221,1180200,0.0,0.0
2017-05-18,47.394,47.684,46.955,47.261,1495000,0.0,0.0
2017-05-19,47.206,47.237,46.861,47.159,1683400,0.0,0.0
2017-05-22,47.151,47.731,47.033,47.653,1060000,0.0,0.0
2017-05-23,47.661,48.108,47.645,47.967,2430500,0.0,0.0
2017-05-24,48.077,48.218,47.967,48.179,1023300,0.0,0.0
2017-05-25,48.171,48.594,48.006,48.516,909800,0.0,0.0
2017-05-26,48.496,48.686,48.417,48.544,825500,0.475,0.0
2017-05-30,48.544,48.749,48.465,48.607,908400,0.0,0.0
2017-05-31,48.654,49.168,48.631,49.073,1565200,0.0,0.0
2017-06-01,49.097,49.295,48.868,49.295,1278600,0.0,0.0
2017-06-02,49.54,49.556,48.931,49.31,2205300,0.0,0.0
2017-06-05,49.39,49.39,49.089,49.247,1486600,0.0,0.0
2017-06-06,49.224,49.326,49.081,49.144,1771100,0.0,0.0
2017-06-07,49.105,49.793,49.105,49.477,1744200,0.0,0.0
2017-06-08,49.453,49.453,48.615,49.105,1507100,0.0,0.0
2017-06-09,48.963,49.31,48.725,49.255,1226700,0.0,0.0
2017-06-12,49.287,49.556,48.757,49.216,1207900,0.0,0.0
2017-06-13,49.137,49.224,48.907,49.144,1011800,0.0,0.0
2017-06-14,49.548,49.777,49.144,49.374,1060300,0.0,0.0
2017-06-15,49.358,49.571,49.16,49.508,1008000,0.0,0.0
