Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-01-03,105.417,108.261,104.851,106.815,1903200,0.0,0.0
2017-01-04,107.0,107.978,105.926,107.362,1090200,0.0,0.0
2017-01-05,107.391,109.258,105.75,107.636,1348300,0.0,0.0
2017-01-06,107.772,108.466,106.424,106.883,1147800,0.0,0.0
2017-01-09,105.652,106.414,103.698,103.737,1811400,0.0,0.0
2017-01-10,104.372,108.085,104.372,106.414,2138800,0.0,0.0
2017-01-11,106.424,107.479,105.232,106.766,1538500,0.0,0.0
2017-01-12,106.512,106.854,102.926,104.108,1490800,0.0,0.0
2017-01-13,104.069,105.828,103.815,104.606,953600,0.0,0.0
2017-01-17,104.284,105.642,103.238,104.782,1219600,0.0,0.0
2017-01-18,105.017,108.759,104.646,108.486,2067500,0.0,0.0
2017-01-19,108.183,109.932,107.108,107.929,1614700,0.0,0.0
2017-01-20,108.447,109.395,107.919,108.652,1252300,0.0,0.0
2017-01-23,108.447,108.711,106.913,107.597,1312200,0.0,0.0
2017-01-24,108.613,111.857,108.007,111.017,1783800,0.0,0.0
2017-01-25,112.375,112.971,110.02,111.652,3048100,0.0,0.0
2017-01-26,120.603,126.436,119.264,124.16,6527800,0.0,0.0
2017-01-27,123.71,125.704,122.342,125.332,2471200,0.0,0.0
2017-01-30,125.801,125.987,121.873,125.831,2762400,0.0,0.0
2017-01-31,126.055,126.642,121.297,123.622,3671200,0.0,0.0
2017-02-01,124.619,128.195,124.619,126.925,2867700,0.0,0.0
2017-02-02,124.433,125.958,123.397,124.189,1764500,0.0,0.0
2017-02-03,124.902,126.642,124.902,125.713,1576400,0.0,0.0
2017-02-06,124.883,125.782,123.007,123.427,1382400,0.0,0.0
2017-02-07,123.788,124.58,122.538,123.358,1255000,0.0,0.0
2017-02-08,123.016,123.016,120.251,121.805,1863400,0.0,0.0
2017-02-09,121.805,123.749,120.945,122.577,1531900,0.0,0.0
2017-02-10,123.27,124.629,122.528,124.218,1313700,0.0,0.0
2017-02-13,124.404,125.967,124.248,124.863,1789800,0.0,0.0
2017-02-14,124.336,126.055,123.182,125.85,952900,0.0,0.0
2017-02-15,125.567,126.612,124.287,126.231,1135200,0.0,0.0
2017-02-16,125.733,126.329,123.544,124.941,989600,0.0,0.0
2017-02-17,124.052,124.052,122.166,123.153,1120700,0.0,0.0
2017-02-21,123.759,126.564,123.554,125.987,1311900,0.0,0.0
2017-02-22,124.922,125.215,123.466,125.137,1124800,0.0,0.0
2017-02-23,126.114,126.896,117.593,118.14,3066000,0.0,0.0
2017-02-24,116.635,121.854,116.391,121.316,2269400,0.0,0.0
2017-02-27,121.863,125.919,121.375,125.283,1748900,0.0,0.0
2017-02-28,123.915,125.752,123.124,125.108,1539700,0.0,0.0
2017-03-01,127.805,131.215,127.785,130.316,2489100,0.0,0.0
2017-03-02,130.072,130.199,125.713,126.065,1962800,0.0,0.0
2017-03-03,126.065,127.179,124.023,125.782,1467900,0.0,0.0
2017-03-06,124.316,127.189,124.003,126.818,1443600,0.0,0.0
2017-03-07,126.417,127.521,124.551,125.225,1497100,0.0,0.0
2017-03-08,126.134,127.013,121.326,121.463,2009300,0.0,0.0
2017-03-09,121.17,122.362,117.837,119.196,3077000,0.0,0.0
2017-03-10,121.023,121.951,118.57,120.143,1454000,0.0,0.0
2017-03-13,120.173,122.205,120.173,121.365,1362800,0.0,0.0
2017-03-14,119.372,119.391,116.577,119.332,2049200,0.0,0.0
2017-03-15,120.388,124.14,119.958,123.466,2135100,0.0,0.0
2017-03-16,124.101,125.528,122.069,122.42,1369700,0.0,0.0
2017-03-17,122.85,123.886,122.293,122.332,977700,0.0,0.0
2017-03-20,121.629,122.968,120.202,122.137,950000,0.0,0.0
2017-03-21,122.469,122.88,116.86,117.271,1795400,0.0,0.0
2017-03-22,116.606,118.707,115.443,117.632,1393800,0.0,0.0
2017-03-23,116.968,119.684,116.704,118.062,1058600,0.0,0.0
2017-03-24,118.56,119.948,116.802,117.935,1259800,0.0,0.0
2017-03-27,114.779,117.271,112.473,116.831,1422400,0.0,0.0
2017-03-28,116.86,121.814,116.499,120.427,1636600,0.0,0.0
2017-03-29,120.251,122.176,119.772,120.818,1069600,0.0,0.0
2017-03-30,120.837,121.707,120.163,121.336,873600,0.0,0.0
2017-03-31,120.534,123.31,120.368,122.196,979300,0.0,0.0
2017-04-03,122.254,122.42,118.844,121.003,1258000,0.0,0.0
2017-04-04,120.31,122.039,119.929,120.945,831500,0.0,0.0
2017-04-05,122.147,123.876,117.534,118.297,1657500,0.0,0.0
2017-04-06,118.736,122.108,118.433,121.17,1263300,0.0,0.0
2017-04-07,120.769,122.567,120.271,120.593,1264600,0.0,0.0
